k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
100,0,4950,4950,0,99,99,198,1047,1245
200,0,19900,19900,0,199,199,398,2491,2889
300,0,44850,44850,0,299,299,598,4079,4677
400,0,79800,79800,0,399,399,798,5779,6577
500,0,124750,124750,0,499,499,998,7479,8477
600,0,179700,179700,0,599,599,1198,9355,10553
700,0,244650,244650,0,699,699,1398,11255,12653
800,0,319600,319600,0,799,799,1598,13155,14753
900,0,404550,404550,0,899,899,1798,15055,16853
1000,0,499500,499500,0,999,999,1998,16955,18953
1100,0,604450,604450,0,1099,1099,2198,19007,21205
1200,0,719400,719400,0,1199,1199,2398,21107,23505
1300,0,844350,844350,0,1299,1299,2598,23207,25805
1400,0,979300,979300,0,1399,1399,2798,25307,28105
1500,0,1124250,1124250,0,1499,1499,2998,27407,30405
1600,0,1279200,1279200,0,1599,1599,3198,29507,32705
1700,0,1444150,1444150,0,1699,1699,3398,31607,35005
1800,0,1619100,1619100,0,1799,1799,3598,33707,37305
1900,0,1804050,1804050,0,1899,1899,3798,35807,39605
2000,0,1999000,1999000,0,1999,1999,3998,37907,41905
2100,0,2203950,2203950,0,2099,2099,4198,40111,44309
2200,0,2418900,2418900,0,2199,2199,4398,42411,46809
2300,0,2643850,2643850,0,2299,2299,4598,44711,49309
2400,0,2878800,2878800,0,2399,2399,4798,47011,51809
2500,0,3123750,3123750,0,2499,2499,4998,49311,54309
2600,0,3378700,3378700,0,2599,2599,5198,51611,56809
2700,0,3643650,3643650,0,2699,2699,5398,53911,59309
2800,0,3918600,3918600,0,2799,2799,5598,56211,61809
2900,0,4203550,4203550,0,2899,2899,5798,58511,64309
3000,0,4498500,4498500,0,2999,2999,5998,60811,66809
3100,0,4803450,4803450,0,3099,3099,6198,63111,69309
3200,0,5118400,5118400,0,3199,3199,6398,65411,71809
3300,0,5443350,5443350,0,3299,3299,6598,67711,74309
3400,0,5778300,5778300,0,3399,3399,6798,70011,76809
3500,0,6123250,6123250,0,3499,3499,6998,72311,79309
3600,0,6478200,6478200,0,3599,3599,7198,74611,81809
3700,0,6843150,6843150,0,3699,3699,7398,76911,84309
3800,0,7218100,7218100,0,3799,3799,7598,79211,86809
3900,0,7603050,7603050,0,3899,3899,7798,81511,89309
4000,0,7998000,7998000,0,3999,3999,7998,83811,91809
4100,0,8402950,8402950,0,4099,4099,8198,86119,94317
4200,0,8817900,8817900,0,4199,4199,8398,88619,97017
4300,0,9242850,9242850,0,4299,4299,8598,91119,99717
4400,0,9677800,9677800,0,4399,4399,8798,93619,102417
4500,0,10122750,10122750,0,4499,4499,8998,96119,105117
4600,0,10577700,10577700,0,4599,4599,9198,98619,107817
4700,0,11042650,11042650,0,4699,4699,9398,101119,110517
4800,0,11517600,11517600,0,4799,4799,9598,103619,113217
4900,0,12002550,12002550,0,4899,4899,9798,106119,115917
5000,0,12497500,12497500,0,4999,4999,9998,108619,118617
5100,0,13002450,13002450,0,5099,5099,10198,111119,121317
5200,0,13517400,13517400,0,5199,5199,10398,113619,124017
5300,0,14042350,14042350,0,5299,5299,10598,116119,126717
5400,0,14577300,14577300,0,5399,5399,10798,118619,129417
5500,0,15122250,15122250,0,5499,5499,10998,121119,132117
5600,0,15677200,15677200,0,5599,5599,11198,123619,134817
5700,0,16242150,16242150,0,5699,5699,11398,126119,137517
5800,0,16817100,16817100,0,5799,5799,11598,128619,140217
5900,0,17402050,17402050,0,5899,5899,11798,131119,142917
6000,0,17997000,17997000,0,5999,5999,11998,133619,145617
6100,0,18601950,18601950,0,6099,6099,12198,136119,148317
6200,0,19216900,19216900,0,6199,6199,12398,138619,151017
6300,0,19841850,19841850,0,6299,6299,12598,141119,153717
6400,0,20476800,20476800,0,6399,6399,12798,143619,156417
6500,0,21121750,21121750,0,6499,6499,12998,146119,159117
6600,0,21776700,21776700,0,6599,6599,13198,148619,161817
6700,0,22441650,22441650,0,6699,6699,13398,151119,164517
6800,0,23116600,23116600,0,6799,6799,13598,153619,167217
6900,0,23801550,23801550,0,6899,6899,13798,156119,169917
7000,0,24496500,24496500,0,6999,6999,13998,158619,172617
7100,0,25201450,25201450,0,7099,7099,14198,161119,175317
7200,0,25916400,25916400,0,7199,7199,14398,163619,178017
7300,0,26641350,26641350,0,7299,7299,14598,166119,180717
7400,0,27376300,27376300,0,7399,7399,14798,168619,183417
7500,0,28121250,28121250,0,7499,7499,14998,171119,186117
7600,0,28876200,28876200,0,7599,7599,15198,173619,188817
7700,0,29641150,29641150,0,7699,7699,15398,176119,191517
7800,0,30416100,30416100,0,7799,7799,15598,178619,194217
7900,0,31201050,31201050,0,7899,7899,15798,181119,196917
8000,0,31996000,31996000,0,7999,7999,15998,183619,199617
8100,0,32800950,32800950,0,8099,8099,16198,186119,202317
8200,0,33615900,33615900,0,8199,8199,16398,188635,205033
8300,0,34440850,34440850,0,8299,8299,16598,191335,207933
8400,0,35275800,35275800,0,8399,8399,16798,194035,210833
8500,0,36120750,36120750,0,8499,8499,16998,196735,213733
8600,0,36975700,36975700,0,8599,8599,17198,199435,216633
8700,0,37840650,37840650,0,8699,8699,17398,202135,219533
8800,0,38715600,38715600,0,8799,8799,17598,204835,222433
8900,0,39600550,39600550,0,8899,8899,17798,207535,225333
9000,0,40495500,40495500,0,8999,8999,17998,210235,228233
9100,0,41400450,41400450,0,9099,9099,18198,212935,231133
9200,0,42315400,42315400,0,9199,9199,18398,215635,234033
9300,0,43240350,43240350,0,9299,9299,18598,218335,236933
9400,0,44175300,44175300,0,9399,9399,18798,221035,239833
9500,0,45120250,45120250,0,9499,9499,18998,223735,242733
9600,0,46075200,46075200,0,9599,9599,19198,226435,245633
9700,0,47040150,47040150,0,9699,9699,19398,229135,248533
9800,0,48015100,48015100,0,9799,9799,19598,231835,251433
9900,0,49000050,49000050,0,9899,9899,19798,234535,254333
