k,operations_bottom,operations_topDown
100,470,584
200,960,1072
300,1355,1632
400,1860,2036
500,2450,2712
600,2755,2872
700,3235,3404
800,3795,4104
900,4225,4748
1000,4740,5156
1100,5110,5668
1200,5420,5804
1300,5930,6308
1400,6465,6672
1500,7110,7688
1600,7520,8348
1700,7845,8300
1800,8440,8900
1900,8940,9808
2000,9355,10236
2100,9680,10340
2200,10365,11600
2300,11050,12136
2400,11290,12424
2500,11615,12452
2600,12270,13584
2700,12695,13784
2800,13090,14000
2900,13750,15224
3000,14085,15460
3100,14655,16124
3200,15050,16412
3300,15685,17008
3400,16035,17432
3500,16500,17880
3600,16950,18816
3700,17270,18636
3800,17945,19372
3900,18415,19668
4000,19085,21052
4100,19255,21064
4200,19720,21260
4300,20325,22124
4400,20900,22756
4500,21450,23168
4600,21555,23168
4700,22130,23808
4800,22150,23780
4900,22740,24712
5000,23730,25980
5100,24065,26536
5200,24355,26660
5300,24975,27368
5400,25560,27572
5500,25980,28340
5600,26320,28980
5700,26925,29328
5800,27250,29820
5900,27815,30716
6000,28550,31332
6100,28690,30676
6200,28940,31660
6300,29765,32800
6400,30320,32828
6500,30675,33640
6600,31100,34156
6700,31195,33224
6800,31865,34324
6900,32185,34896
7000,32955,35812
7100,33430,36472
7200,34250,37148
7300,34240,37280
7400,35125,38276
7500,35275,38616
7600,35580,38272
7700,36430,39116
7800,36935,40404
7900,37365,40636
8000,37860,40572
8100,38465,41764
8200,38585,42392
8300,39255,42040
8400,39915,43496
8500,39920,43140
8600,40290,43556
8700,40710,44124
8800,41835,45724
8900,42090,46504
9000,42555,46592
9100,42995,46468
9200,43335,47388
9300,44205,48468
9400,44255,48764
9500,45115,48896
9600,45150,48704
9700,45750,50548
9800,46475,51372
9900,46580,49432
100,435,436
200,865,852
300,1470,1608
400,1780,1944
500,2390,2664
600,2805,2996
700,3315,3588
800,3670,3980
900,4175,4556
1000,4725,5084
1100,4980,5216
1200,5600,6164
1300,6165,6776
1400,6610,7228
1500,6860,7256
1600,7515,8124
1700,8020,8812
1800,8445,9344
1900,8955,9976
2000,9605,10756
2100,9760,10356
2200,10465,11216
2300,10860,11860
2400,11655,12916
2500,11715,12852
2600,12250,13176
2700,12660,13464
2800,13215,14668
2900,13755,15292
3000,14040,15384
3100,14595,15732
3200,14985,15832
3300,15415,16696
3400,15960,17448
3500,16260,17332
3600,17380,19244
3700,17250,18764
3800,17875,19948
3900,18225,20064
4000,18945,20468
4100,19205,20696
4200,19710,21564
4300,20245,22412
4400,20610,22496
4500,21375,23816
4600,21640,23044
4700,22380,24656
4800,22585,23988
4900,23370,25908
5000,23620,25600
5100,24065,26728
5200,24610,27064
5300,25015,27192
5400,25430,27412
5500,25720,28192
5600,26390,28136
5700,26945,28752
5800,27285,29656
5900,27880,30920
6000,28570,31124
6100,28525,30712
6200,29670,31908
6300,29865,32488
6400,30145,32988
6500,30080,32400
6600,30965,33704
6700,31515,33976
6800,31925,34408
6900,32495,35256
7000,32665,35556
7100,33240,36252
7200,33785,36672
7300,34185,37124
7400,35005,38256
7500,35380,38156
7600,35855,39372
7700,36280,39388
7800,36775,40200
7900,37510,40984
8000,37645,40740
8100,37865,40572
8200,38800,41656
8300,39175,42396
8400,39825,43260
8500,39805,43420
8600,40490,44184
8700,40910,45188
8800,41645,45116
8900,41825,45240
9000,42720,46400
9100,42730,46336
9200,43350,46948
9300,43645,47432
9400,44380,48492
9500,44620,48052
9600,44910,48680
9700,45935,50040
9800,46310,50840
9900,47000,52280
