k,bestQuickSort
100,1389,
200,3266,
300,5238,
400,7519,
500,9684,
600,11955,
700,14497,
800,17024,
900,19355,
1000,21845,
1100,24288,
1200,26888,
1300,29668,
1400,32466,
1500,35429,
1600,38033,
1700,40479,
1800,43192,
1900,45809,
2000,48666,
2100,51401,
2200,54053,
2300,56978,
2400,59753,
2500,62792,
2600,65813,
2700,68756,
2800,71903,
2900,74999,
3000,78326,
3100,81504,
3200,84050,
3300,86707,
3400,89436,
3500,92318,
3600,95365,
3700,98130,
3800,101090,
3900,104149,
4000,107307,
4100,110688,
4200,113278,
4300,116129,
4400,119082,
4500,122125,
4600,125423,
4700,128328,
4800,131482,
4900,134717,
5000,138057,
5100,141574,
5200,144602,
5300,147708,
5400,150985,
5500,154310,
5600,157776,
5700,161101,
5800,164468,
5900,168072,
6000,171619,
6100,175370,
6200,178485,
6300,181140,
6400,184083,
6500,186840,
6600,189888,
6700,192900,
6800,195849,
6900,199014,
7000,202107,
7100,205449,
7200,208710,
7300,211641,
7400,214731,
7500,217851,
7600,221151,
7700,224568,
7800,227766,
7900,231129,
8000,234588,
8100,238134,
8200,241857,
8300,244574,
8400,247531,
8500,250578,
8600,253730,
8700,257155,
8800,260139,
8900,263378,
9000,266722,
9100,270165,
9200,273812,
9300,276898,
9400,280125,
9500,283493,
9600,286939,
9700,290496,
9800,293906,
9900,297388,
100,1389,
200,3266,
300,5238,
400,7519,
500,9684,
600,11955,
700,14497,
800,17024,
900,19355,
1000,21845,
1100,24288,
1200,26888,
1300,29668,
1400,32466,
1500,35429,
1600,38033,
1700,40479,
1800,43192,
1900,45809,
2000,48666,
2100,51401,
2200,54053,
2300,56978,
2400,59753,
2500,62792,
2600,65813,
2700,68756,
2800,71903,
2900,74999,
3000,78326,
3100,81504,
3200,84050,
3300,86707,
3400,89436,
3500,92318,
3600,95365,
3700,98130,
3800,101090,
3900,104149,
4000,107307,
4100,110688,
4200,113278,
4300,116129,
4400,119082,
4500,122125,
4600,125423,
4700,128328,
4800,131482,
4900,134717,
5000,138057,
5100,141574,
5200,144602,
5300,147708,
5400,150985,
5500,154310,
5600,157776,
5700,161101,
5800,164468,
5900,168072,
6000,171619,
6100,175370,
6200,178485,
6300,181140,
6400,184083,
6500,186840,
6600,189888,
6700,192900,
6800,195849,
6900,199014,
7000,202107,
7100,205449,
7200,208710,
7300,211641,
7400,214731,
7500,217851,
7600,221151,
7700,224568,
7800,227766,
7900,231129,
8000,234588,
8100,238134,
8200,241857,
8300,244574,
8400,247531,
8500,250578,
8600,253730,
8700,257155,
8800,260139,
8900,263378,
9000,266722,
9100,270165,
9200,273812,
9300,276898,
9400,280125,
9500,283493,
9600,286939,
9700,290496,
9800,293906,
9900,297388,
100,1389,
200,3266,
300,5238,
400,7519,
500,9684,
600,11955,
700,14497,
800,17024,
900,19355,
1000,21845,
1100,24288,
1200,26888,
1300,29668,
1400,32466,
1500,35429,
1600,38033,
1700,40479,
1800,43192,
1900,45809,
2000,48666,
2100,51401,
2200,54053,
2300,56978,
2400,59753,
2500,62792,
2600,65813,
2700,68756,
2800,71903,
2900,74999,
3000,78326,
3100,81504,
3200,84050,
3300,86707,
3400,89436,
3500,92318,
3600,95365,
3700,98130,
3800,101090,
3900,104149,
4000,107307,
4100,110688,
4200,113278,
4300,116129,
4400,119082,
4500,122125,
4600,125423,
4700,128328,
4800,131482,
4900,134717,
5000,138057,
5100,141574,
5200,144602,
5300,147708,
