k,worstQuickSort
100,20196,
200,80396,
300,180596,
400,320796,
500,500996,
600,721196,
700,981396,
800,1281596,
900,1621796,
1000,2001996,
1100,2422196,
1200,2882396,
1300,3382596,
1400,3922796,
1500,4502996,
1600,5123196,
1700,5783396,
1800,6483596,
1900,7223796,
2000,8003996,
2100,8824196,
2200,9684396,
2300,10584596,
2400,11524796,
2500,12504996,
2600,13525196,
2700,14585396,
2800,15685596,
2900,16825796,
3000,18005996,
3100,19226196,
3200,20486396,
3300,21786596,
3400,23126796,
3500,24506996,
3600,25927196,
3700,27387396,
3800,28887596,
3900,30427796,
4000,32007996,
4100,33628196,
4200,35288396,
4300,36988596,
4400,38728796,
4500,40508996,
4600,42329196,
4700,44189396,
4800,46089596,
4900,48029796,
5000,50009996,
5100,52030196,
5200,54090396,
5300,56190596,
5400,58330796,
5500,60510996,
5600,62731196,
5700,64991396,
5800,67291596,
5900,69631796,
6000,72011996,
6100,74432196,
6200,76892396,
6300,79392596,
6400,81932796,
6500,84512996,
6600,87133196,
6700,89793396,
6800,92493596,
6900,95233796,
7000,98013996,
7100,100834196,
7200,103694396,
7300,106594596,
7400,109534796,
7500,112514996,
7600,115535196,
7700,118595396,
7800,121695596,
7900,124835796,
8000,128015996,
8100,131236196,
8200,134496396,
8300,137796596,
8400,141136796,
8500,144516996,
8600,147937196,
8700,151397396,
8800,154897596,
8900,158437796,
9000,162017996,
9100,165638196,
9200,169298396,
9300,172998596,
9400,176738796,
9500,180518996,
9600,184339196,
9700,188199396,
9800,192099596,
9900,196039796,
100,20196,
200,80396,
300,180596,
400,320796,
500,500996,
600,721196,
700,981396,
800,1281596,
900,1621796,
1000,2001996,
1100,2422196,
1200,2882396,
1300,3382596,
1400,3922796,
1500,4502996,
1600,5123196,
1700,5783396,
1800,6483596,
1900,7223796,
2000,8003996,
2100,8824196,
2200,9684396,
2300,10584596,
2400,11524796,
2500,12504996,
2600,13525196,
2700,14585396,
2800,15685596,
2900,16825796,
3000,18005996,
3100,19226196,
3200,20486396,
3300,21786596,
3400,23126796,
3500,24506996,
3600,25927196,
3700,27387396,
3800,28887596,
3900,30427796,
4000,32007996,
4100,33628196,
4200,35288396,
4300,36988596,
4400,38728796,
4500,40508996,
4600,42329196,
