k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
100,285,4950,5235,7533,4830,12363,2709,995,3704
200,579,19900,20479,28017,19729,47746,9737,2379,12116
300,876,44850,45726,62412,44640,107052,21402,3905,25307
400,1194,79800,80994,122988,79547,202535,41794,5587,47381
500,1470,124750,126220,194238,124672,318910,65744,7271,73015
600,1776,179700,181476,267504,179609,447113,90366,8981,99347
700,2082,244650,246732,374556,243110,617666,126250,10831,137081
800,2370,319600,321970,473670,318472,792142,159488,12709,172197
900,2682,404550,407232,587370,404445,991815,197588,14633,212221
1000,2976,499500,502476,745986,499269,1245255,250660,16513,267173
1100,3273,604450,607723,908433,603820,1512253,305009,18465,323474
1200,3585,719400,722985,1109727,714147,1823874,372307,20405,392712
1300,3864,844350,848214,1247718,843885,2091603,418504,22399,440903
1400,4185,979300,983485,1463253,976954,2440207,490549,24455,515004
1500,4485,1124250,1128735,1645455,1123950,2769405,551483,26577,578060
1600,4785,1279200,1283985,2000361,1274544,3274905,669985,28649,698634
1700,5082,1444150,1449232,2190726,1443069,3633795,733640,30749,764389
1800,5388,1619100,1624488,2399640,1618110,4017750,803478,32831,836309
1900,5679,1804050,1809729,2623515,1801565,4425080,878303,34963,913266
2000,5961,1999000,2004961,2982105,1997824,4979929,998033,37025,1035058
2100,6282,2203950,2210232,3271410,2201934,5473344,1094668,39111,1133779
2200,6591,2418900,2425491,3554523,2418270,5972793,1189239,41237,1230476
2300,6873,2643850,2650723,4042179,2642197,6684376,1351991,43385,1395376
2400,7164,2878800,2885964,4400232,2875874,7276106,1471542,45581,1517123
2500,7476,3123750,3131226,4695804,3122930,7818734,1570266,47797,1618063
2600,7767,3378700,3386467,4967733,3377754,8345487,1661109,50049,1711158
2700,8082,3643650,3651732,5435352,3636147,9071499,1817182,52221,1869403
2800,8370,3918600,3926970,5920464,3915597,9836061,1979086,54539,2033625
2900,8679,4203550,4212229,6299889,4196995,10496884,2105761,56777,2162538
3000,8982,4498500,4507482,6715488,4495340,11210828,2244494,59049,2303543
3100,9285,4803450,4812735,7079037,4799534,11878571,2365877,61391,2427268
3200,9582,5118400,5127982,7469640,5117022,12586662,2496278,63679,2559957
3300,9879,5443350,5453229,8181573,5440794,13622367,2733789,65915,2799704
3400,10176,5778300,5788476,8791260,5777480,14568740,2937218,68301,3005519
3500,10470,6123250,6133720,8967006,6119847,15086853,2996000,70527,3066527
3600,10764,6478200,6488964,9783408,6465954,16249362,3268334,72837,3341171
3700,11073,6843150,6854223,10240473,6836709,17077182,3420889,75193,3496082
3800,11364,7218100,7229464,10799028,7217154,18016182,3607274,77477,3684751
3900,11670,7603050,7614720,11471892,7592897,19064789,3831762,79731,3911493
4000,11988,7998000,8009988,12002334,7997535,19999869,4008776,82049,4090825
4100,12294,8402950,8415244,12764442,8402674,21167116,4263012,84375,4347387
4200,12576,8817900,8830476,13080504,8814414,21894918,4368566,86723,4455289
4300,12888,9242850,9255738,13679292,9242220,22921512,4568362,88903,4657265
4400,13173,9677800,9690973,14319687,9673047,23992734,4782027,91293,4873320
4500,13455,10122750,10136205,15173349,10116755,25290104,5066781,93701,5160482
4600,13761,10577700,10591461,16107099,10575354,26682453,5378231,95989,5474220
4700,14067,11042650,11056717,16464861,11040094,27504955,5497685,98417,5596102
4800,14361,11517600,11531961,17239527,11514674,28754201,5756107,100781,5856888
4900,14676,12002550,12017226,17875818,11998364,29874182,5968404,103115,6071519
5000,14982,12497500,12512482,18773928,12494097,31268025,6267974,105509,6373483
5100,15273,13002450,13017723,19575495,12994449,32569944,6535363,107915,6643278
5200,15591,13517400,13532991,20355777,13509144,33864921,6795657,110417,6906074
5300,15882,14042350,14058232,21097674,14038164,35135838,7043156,112815,7155971
5400,16164,14577300,14593464,21635766,14574450,36210216,7222720,115279,7337999
5500,16458,15122250,15138708,22745484,15121815,37867299,7592826,117717,7710543
5600,16779,15677200,15693979,23392479,15665110,39057589,7808691,120239,7928930
5700,17061,16242150,16259211,24647685,16240134,40887819,8227293,122551,8349844
5800,17379,16817100,16834479,25626201,16810772,42436973,8553665,125179,8678844
5900,17661,17402050,17419711,26504631,17394424,43899055,8846675,127599,8974274
6000,17961,17997000,18014961,26980995,17993345,44974340,9005663,130087,9135750
6100,18264,18601950,18620214,27673860,18600572,46274432,9236818,132655,9369473
6200,18579,19216900,19235479,28597251,19207170,47804421,9544815,135169,9679984
6300,18876,19841850,19860726,29773932,19841525,49615457,9937242,137567,10074809
6400,19167,20476800,20495967,30807111,20475897,51283008,10281835,140147,10421982
6500,19476,21121750,21141226,31538160,21117285,52655445,10525718,142517,10668235
6600,19773,21776700,21796473,32190393,21767520,53957913,10743329,145145,10888474
6700,20058,22441650,22461708,34433718,22441089,56874807,11491304,147563,11638867
6800,20373,23116600,23136973,34597401,23113197,57710598,11546065,150071,11696136
6900,20679,23801550,23822229,35343147,23787522,59130669,11794847,152509,11947356
7000,20979,24496500,24517479,36739233,24491144,61230377,12260409,155101,12415510
7100,21267,25201450,25222717,37795017,25195234,62990251,12612537,157523,12770060
7200,21582,25916400,25937982,38558400,25915365,64473765,12867198,160089,13027287
7300,21882,26641350,26663232,39889206,26633349,66522555,13311000,162693,13473693
7400,22182,27376300,27398482,41063190,27371047,68434237,13702528,165081,13867609
7500,22476,28121250,28143726,41994438,28099095,70093533,14013144,167655,14180799
7600,22782,28876200,28898982,43088700,28873119,71961819,14378098,169989,14548087
7700,23082,29641150,29664232,44164998,29623005,73788003,14737064,172661,14909725
7800,23373,30416100,30439473,45686421,30411729,76098150,15244405,175203,15419608
7900,23667,31201050,31224717,46941171,31197810,78138981,15662855,177549,15840404
8000,23973,31996000,32019973,48012945,31980775,79993720,16020313,180153,16200466
8100,24276,32800950,32825226,48928890,32776640,81705530,16325828,182541,16508369
8200,24558,33615900,33640458,49900182,33611340,83511522,16649792,185093,16834885
8300,24873,34440850,34465723,51584307,34428915,86013222,17211367,187597,17398964
8400,25158,35275800,35300958,52514898,35265215,87780113,17521764,190153,17711917
8500,25470,36120750,36146220,54692406,36110597,90803003,18247800,192669,18440469
8600,25764,36975700,37001464,55675620,36974047,92649667,18575738,195145,18770883
8700,26067,37840650,37866717,57600321,37839704,95440025,19217505,197683,19415188
8800,26367,38715600,38741967,58498761,38711772,97210533,19517185,200211,19717396
8900,26673,39600550,39627223,59094711,39597310,98692021,19716035,202733,19918768
9000,26970,40495500,40522470,60667092,40484175,101151267,20240362,205273,20445635
9100,27273,41400450,41427723,61791249,41393895,103185144,20615281,207891,20823172
9200,27576,42315400,42342976,63454248,42314659,105768907,21169814,210393,21380207
9300,27870,43240350,43268220,64332618,43233329,107565947,21462804,213009,21675813
9400,28161,44175300,44203461,66221205,44175279,110396484,22092533,215593,22308126
9500,28473,45120250,45148723,68083203,45118819,113202022,22713399,218393,22931792
9600,28776,46075200,46103976,69537150,46067819,115604969,23198248,220833,23419081
9700,29064,47040150,47069214,69759840,47035299,116795139,23272678,223457,23496135
9800,29376,48015100,48044476,71258958,48005920,119264878,23772584,225949,23998533
9900,29667,49000050,49029717,72490713,48997275,121487988,24183369,228491,24411860
100,276,4950,5226,8076,4884,12960,2890,987,3877
200,585,19900,20485,27729,19894,47623,9641,2397,12038
300,888,44850,45738,69720,44354,114074,23838,3913,27751
400,1173,79800,80973,121221,79734,200955,41205,5567,46772
500,1491,124750,126241,183045,123097,306142,62013,7263,69276
600,1773,179700,181473,260109,179564,439673,87901,9019,96920
700,2070,244650,246720,370536,244350,614886,124910,10861,135771
800,2376,319600,321976,492828,319464,812292,165874,12727,178601
900,2667,404550,407217,598335,404144,1002479,201243,14609,215852
1000,2982,499500,502482,754404,498834,1253238,253466,16537,270003
1100,3279,604450,607729,915609,601129,1516738,307401,18435,325836
1200,3573,719400,722973,1096233,716474,1812707,367809,20383,388192
1300,3885,844350,848235,1241139,843447,2084586,416311,22403,438714
1400,4179,979300,983479,1467093,977974,2445067,491829,24451,516280
1500,4482,1124250,1128732,1696236,1123872,2820108,568410,26525,594935
1600,4779,1279200,1283979,1961481,1277822,3239303,657025,28627,685652
1700,5058,1444150,1449208,2156292,1440990,3597282,722162,30727,752889
1800,5373,1619100,1624473,2414259,1612314,4026573,808351,32745,841096
1900,5667,1804050,1809717,2661501,1804040,4465541,890965,34907,925872
2000,5985,1999000,2004985,3054783,1998565,5053348,1022259,37049,1059308
2100,6264,2203950,2210214,3257778,2203485,5461263,1090124,39139,1129263
2200,6576,2418900,2425476,3600852,2418669,6019521,1204682,41277,1245959
2300,6867,2643850,2650717,4006095,2641504,6647599,1339963,43399,1383362
2400,7173,2878800,2885973,4427463,2878422,7305885,1480619,45551,1526170
2500,7479,3123750,3131229,4799799,3115875,7915674,1604931,47789,1652720
2600,7788,3378700,3386488,5119230,3377920,8497150,1711608,50055,1761663
2700,8076,3643650,3651726,5418954,3641304,9060258,1811716,52245,1863961
2800,8382,3918600,3926982,5937492,3916520,9854012,1984762,54497,2039259
2900,8667,4203550,4212217,6187677,4200147,10387824,2068357,56735,2125092
3000,8964,4498500,4507464,6909444,4496420,11405864,2309146,59027,2368173
3100,9258,4803450,4812708,7305324,4797455,12102779,2441306,61365,2502671
3200,9576,5118400,5127976,7784466,5115915,12900381,2601220,63645,2664865
3300,9870,5443350,5453220,8160252,5436680,13596932,2726682,65949,2792631
3400,10179,5778300,5788479,8477367,5776470,14253837,2832587,68245,2900832
3500,10476,6123250,6133726,9199560,6118879,15318439,3073518,70515,3144033
3600,10785,6478200,6488985,9469101,6474797,15943898,3163565,72867,3236432
3700,11076,6843150,6854226,10114644,6842484,16957128,3378946,75183,3454129
3800,11379,7218100,7229479,10773441,7213249,17986690,3598745,77443,3676188
3900,11655,7603050,7614705,11476437,7594665,19071102,3833277,79723,3913000
4000,11973,7998000,8009973,11932137,7997972,19930109,3985377,82103,4067480
4100,12270,8402950,8415220,12439944,8402599,20842543,4154846,84327,4239173
4200,12573,8817900,8830473,13453077,8817372,22270449,4492757,86663,4579420
4300,12882,9242850,9255732,13834404,9230447,23064851,4620066,89007,4709073
4400,13161,9677800,9690961,14645841,9675589,24321430,4890745,91333,4982078
4500,13482,10122750,10136232,15283866,10116645,25400511,5103620,93693,5197313
4600,13779,10577700,10591479,16028925,10572549,26601474,5352173,95995,5448168
4700,14082,11042650,11056732,16434822,11038645,27473467,5487672,98385,5586057
4800,14361,11517600,11531961,17090175,11517564,28607739,5706323,100729,5807052
4900,14676,12002550,12017226,18155160,12000405,30155565,6061518,103183,6164701
5000,14973,12497500,12512473,18720411,12494260,31214671,6250135,105579,6355714
5100,15288,13002450,13017738,19614018,12990669,32604687,6548204,107965,6656169
5200,15573,13517400,13532973,20250879,13513914,33764793,6760691,110407,6871098
5300,15879,14042350,14058229,21007275,14037400,35044675,7013023,112823,7125846
5400,16161,14577300,14593461,21785919,14570279,36356198,7272771,115263,7388034
5500,16470,15122250,15138720,22782960,15120924,37903884,7605318,117767,7723085
5600,16779,15677200,15693979,23785419,15674854,39460273,7939671,120173,8059844
5700,17079,16242150,16259229,24471855,16238580,40710435,8168683,122715,8291398
5800,17370,16817100,16834470,25410678,16804220,42214898,8481824,125143,8606967
5900,17682,17402050,17419732,26429832,17396590,43826422,8821742,127543,8949285
6000,17985,17997000,18014985,27299763,17985219,45284982,9111919,130095,9242014
6100,18270,18601950,18620220,28012272,18593039,46605311,9349622,132593,9482215
6200,18567,19216900,19235467,28776099,19206889,47982988,9604431,135097,9739528
6300,18876,19841850,19860726,29551968,19839897,49391865,9863254,137565,10000819
6400,19176,20476800,20495976,30499182,20468415,50967597,10179192,140015,10319207
6500,19479,21121750,21141229,31790691,21120574,52911265,10609895,142653,10752548
6600,19767,21776700,21796467,32877285,21772784,54650069,10972293,145009,11117302
6700,20070,22441650,22461720,33452676,22438949,55891625,11164290,147605,11311895
6800,20379,23116600,23136979,34432941,23116599,57549540,11491245,150109,11641354
6900,20670,23801550,23822220,34938714,23801085,58739799,11660036,152543,11812579
7000,20979,24496500,24517479,36077829,24491747,60569576,12039941,155097,12195038
7100,21264,25201450,25222714,37841886,25200589,63042475,12628160,157543,12785703
7200,21564,25916400,25937964,38454354,25902372,64356726,12832516,160173,12992689
7300,21873,26641350,26663223,40045845,26629722,66675567,13363213,162599,13525812
7400,22182,27376300,27398482,41432916,27365125,68798041,13825770,165129,13990899
7500,22473,28121250,28143723,42785823,28109774,70895597,14276939,167595,14444534
7600,22773,28876200,28898973,43294911,28875765,72170676,14446835,170097,14616932
7700,23073,29641150,29664223,44688153,29633647,74321800,14911449,172583,15084032
7800,23373,30416100,30439473,45518709,30406647,75925356,15188501,175047,15363548
7900,23670,31201050,31224720,46526808,31199874,77726682,15524734,177621,15702355
8000,23964,31996000,32019964,48511320,31990950,80502270,16186438,179981,16366419
8100,24279,32800950,32825229,49817643,32800130,82617773,16622079,182581,16804660
8200,24561,33615900,33640461,49940871,33615822,83556693,16663355,185021,16848376
8300,24861,34440850,34465711,51719511,34435800,86155311,17256435,187529,17443964
8400,25188,35275800,35300988,53177892,35259869,88437761,17742762,190201,17932963
8500,25476,36120750,36146226,54180624,36118472,90299096,18077206,192565,18269771
8600,25770,36975700,37001470,55023246,36954379,91977625,18358280,195197,18553477
8700,26079,37840650,37866729,56768595,37836464,94605059,18940263,197709,19137972
8800,26379,38715600,38741979,57486939,38708579,96195518,19179911,200241,19380152
8900,26661,39600550,39627211,58850805,39596085,98446890,19634733,202765,19837498
9000,26970,40495500,40522470,60192384,40493154,100685538,20082126,205399,20287525
9100,27273,41400450,41427723,62262081,41399460,103661541,20772225,207943,20980168
9200,27567,42315400,42342967,62504655,42291529,104796184,20853283,210485,21063768
9300,27879,43240350,43268229,63991107,43212147,107203254,21348967,212945,21561912
9400,28176,44175300,44203476,66485004,44147805,110632809,22180466,215569,22396035
9500,28473,45120250,45148723,66712203,45113695,111825898,22256399,218129,22474528
9600,28764,46075200,46103964,69062880,46073184,115136064,23040158,220681,23260839
9700,29061,47040150,47069211,71416563,47035590,118452153,23824919,223291,24048210
9800,29361,48015100,48044461,72013179,48006972,120020151,24023991,225845,24249836
9900,29658,49000050,49029708,73688574,48991139,122679713,24582656,228587,24811243
100,288,4950,5238,7902,4940,12842,2832,1003,3835
200,582,19900,20482,30384,19879,50263,10526,2399,12925
300,885,44850,45735,67617,44444,112061,23137,3897,27034
400,1185,79800,80985,118383,79097,197480,40259,5551,45810
500,1476,124750,126226,181128,124372,305500,61374,7277,68651
600,1791,179700,181491,262407,179204,441611,88667,9033,97700
700,2091,244650,246741,373851,243984,617835,126015,10849,136864
800,2388,319600,321988,465978,319509,785487,156924,12747,169671
900,2676,404550,407226,613164,403224,1016388,206186,14645,220831
1000,2982,499500,502482,784386,499004,1283390,263460,16475,279935
1100,3267,604450,607717,893997,603547,1497544,300197,18455,318652
1200,3591,719400,722991,1071255,718965,1790220,359483,20397,379880
1300,3864,844350,848214,1287708,844284,2131992,431834,22435,454269
1400,4179,979300,983479,1447191,978670,2425861,485195,24477,509672
1500,4482,1124250,1128732,1634010,1123620,2757630,547668,26511,574179
1600,4779,1279200,1283979,1973133,1279122,3252255,660909,28633,689542
1700,5067,1444150,1449217,2211447,1441665,3653112,740547,30675,771222
1800,5388,1619100,1624488,2439846,1618847,4058693,816880,32847,849727
1900,5682,1804050,1809732,2729238,1802397,4531635,913544,34943,948487
2000,5973,1999000,2004973,3051459,1998180,5049639,1021151,37025,1058176
2100,6282,2203950,2210232,3272886,2197047,5469933,1095160,39167,1134327
2200,6573,2418900,2425473,3602523,2417009,6019532,1205239,41217,1246456
2300,6858,2643850,2650708,3967674,2643070,6610744,1327156,43469,1370625
2400,7188,2878800,2885988,4307154,2878664,7185818,1440516,45583,1486099
2500,7479,3123750,3131229,4710957,3121797,7832754,1575317,47813,1623130
2600,7773,3378700,3386473,5125779,3378679,8504458,1713791,50035,1763826
2700,8079,3643650,3651729,5470863,3641165,9112028,1829019,52249,1881268
2800,8370,3918600,3926970,5936850,3918429,9855279,1984548,54487,2039035
2900,8661,4203550,4212211,6359307,4199722,10559029,2125567,56751,2182318
3000,8982,4498500,4507482,6851160,4498269,11349429,2289718,59065,2348783
3100,9258,4803450,4812708,6993528,4800129,11793657,2337374,61335,2398709
3200,9579,5118400,5127979,7762467,5111019,12873486,2593887,63693,2657580
3300,9882,5443350,5453232,8116416,5437355,13553771,2712070,65937,2778007
3400,10161,5778300,5788461,8613021,5775815,14388836,2877805,68169,2945974
3500,10479,6123250,6133729,9296673,6123159,15419832,3105889,70557,3176446
3600,10767,6478200,6488967,9808323,6477024,16285347,3276639,72823,3349462
3700,11070,6843150,6854220,10044318,6840804,16885122,3355504,75163,3430667
3800,11379,7218100,7229479,11068617,7214005,18282622,3697137,77457,3774594
3900,11667,7603050,7614717,11307777,7602455,18910232,3777057,79689,3856746
4000,11970,7998000,8009970,12194820,7990125,20184945,4072938,82061,4154999
4100,12279,8402950,8415229,12585921,8399380,20985301,4203505,84287,4287792
4200,12567,8817900,8830467,13291791,8817234,22109025,4438995,86669,4525664
4300,12879,9242850,9255729,14049585,9242844,23292429,4691793,88995,4780788
4400,13173,9677800,9690973,14617527,9673335,24290862,4881307,91311,4972618
4500,13479,10122750,10136229,15072513,10121039,25193552,5033169,93669,5126838
4600,13773,10577700,10591473,15729531,10572750,26302281,5252375,96117,5348492
4700,14076,11042650,11056726,16489698,11037600,27527298,5505964,98419,5604383
4800,14367,11517600,11531967,16996719,11513229,28509948,5675171,100825,5775996
4900,14670,12002550,12017220,18251796,12002484,30254280,6093730,103095,6196825
5000,14982,12497500,12512482,18707670,12492144,31199814,6245888,105593,6351481
5100,15264,13002450,13017714,19506090,13000305,32506395,6512228,107949,6620177
5200,15564,13517400,13532964,20108706,13511940,33620646,6713300,110403,6823703
5300,15879,14042350,14058229,20981889,14039424,35021313,7004561,112857,7117418
5400,16176,14577300,14593476,21769752,14556999,36326751,7267382,115407,7382789
5500,16479,15122250,15138729,22815015,15112239,37927254,7616003,117735,7733738
5600,16773,15677200,15693973,23407785,15662322,39070107,7813793,120207,7934000
5700,17076,16242150,16259226,24669654,16235480,40905134,8234616,122725,8357341
5800,17355,16817100,16834455,24980343,16812540,41792883,8338379,125249,8463628
5900,17673,17402050,17419723,26018229,17400097,43418326,8684541,127601,8812142
6000,17982,17997000,18014982,26733552,17989374,44722926,8923182,130073,9053255
6100,18276,18601950,18620226,28018818,18596697,46615515,9351804,132597,9484401
6200,18567,19216900,19235467,28942779,19212147,48154926,9659991,135045,9795036
6300,18882,19841850,19860732,30189462,19841354,50030816,10075752,137471,10213223
6400,19173,20476800,20495973,30587907,20475897,51063804,10208767,140111,10348878
6500,19479,21121750,21141229,31233837,21111739,52345576,10424277,142627,10566904
6600,19764,21776700,21796464,32863242,21756999,54620241,10967612,145079,11112691
6700,20073,22441650,22461723,33196467,22438329,55634796,11078887,147657,11226544
6800,20376,23116600,23136976,34587696,23112505,57700201,11542830,150109,11692939
6900,20661,23801550,23822211,36332397,23798064,60130461,12124597,152529,12277126
7000,20967,24496500,24517467,36574239,24494960,61069199,12205411,155197,12360608
7100,21249,25201450,25222699,37712583,25193322,62905905,12585059,157649,12742708
7200,21576,25916400,25937976,38874894,25908650,64783544,12972696,160137,13132833
7300,21864,26641350,26663214,39538992,26638794,66177786,13194262,162503,13356765
7400,22173,27376300,27398473,41257881,27375310,68633191,13767425,165075,13932500
7500,22467,28121250,28143717,42980751,28119765,71100516,14341915,167499,14509414
7600,22767,28876200,28898967,43743933,28875822,72619755,14596509,170017,14766526
7700,23094,29641150,29664244,45068448,29605639,74674087,15038214,172657,15210871
7800,23361,30416100,30439461,45643257,30409430,76052687,15230017,175117,15405134
7900,23667,31201050,31224717,47390301,31175850,78566151,15812565,177545,15990110
8000,23946,31996000,32019946,47618148,31964875,79583023,15888714,180057,16068771
8100,24291,32800950,32825241,48592839,32788230,81381069,16213811,182609,16396420
8200,24579,33615900,33640479,50170371,33610229,83780600,16739855,185055,16924910
8300,24861,34440850,34465711,51356211,34439080,85795291,17135335,187559,17322894
8400,25179,35275800,35300979,53108121,35271522,88379643,17719505,190089,17909594
8500,25467,36120750,36146217,54113421,36120120,90233541,18054805,192641,18247446
8600,25770,36975700,37001470,55093308,36974269,92067577,18381634,195057,18576691
8700,26058,37840650,37866708,56646438,37840440,94486878,18899544,197585,19097129
8800,26379,38715600,38741979,58341495,38713115,97054610,19464763,200169,19664932
8900,26679,39600550,39627229,59321625,39594109,98915734,19791673,202749,19994422
9000,26982,40495500,40522482,60704322,40491495,101195817,20252772,205309,20458081
9100,27270,41400450,41427720,62077920,41398854,103476774,20710838,207819,20918657
9200,27570,42315400,42342970,63395184,42255715,105650899,21150126,210497,21360623
9300,27867,43240350,43268217,64927653,43240284,108167937,21661149,212835,21873984
9400,28173,44175300,44203473,65681985,44173347,109855332,21912793,215607,22128400
9500,28461,45120250,45148711,67895655,45112122,113007777,22650883,218217,22869100
9600,28776,46075200,46103976,67749582,46072119,113821701,22602392,220727,22823119
9700,29070,47040150,47069220,70965090,47026784,117991874,23674428,223381,23897809
9800,29361,48015100,48044461,72105207,48009847,120115054,24054667,226011,24280678
9900,29679,49000050,49029729,73436421,48998280,122434701,24498605,228475,24727080
100,282,4950,5232,6966,4914,11880,2520,1003,3523
200,576,19900,20476,31854,19822,51676,11016,2393,13409
300,885,44850,45735,73779,43625,117404,25191,3917,29108
400,1188,79800,80988,115320,78897,194217,39238,5581,44819
500,1473,124750,126223,187779,124474,312253,63591,7273,70864
600,1791,179700,181491,268893,179580,448473,90829,8991,99820
700,2082,244650,246732,358980,244545,603525,121058,10833,131891
800,2379,319600,321979,483171,319590,802761,162655,12717,175372
900,2682,404550,407232,598122,403647,1001769,201172,14611,215783
1000,2973,499500,502473,751827,498834,1250661,252607,16529,269136
1100,3282,604450,607732,919170,604099,1523269,308588,18415,327003
1200,3588,719400,722988,1074078,716915,1790993,360424,20411,380835
1300,3870,844350,848220,1239552,842334,2081886,415782,22435,438217
1400,4173,979300,983473,1436829,978439,2415268,481741,24461,506202
1500,4473,1124250,1128723,1690209,1123260,2813469,566401,26489,592890
1600,4776,1279200,1283976,1882992,1277184,3160176,630862,28617,659479
1700,5073,1444150,1449223,2218647,1443520,3662167,742947,30685,773632
1800,5370,1619100,1624470,2401506,1617924,4019430,804100,32843,836943
1900,5676,1804050,1809726,2697612,1803060,4500672,903002,34941,937943
2000,5982,1999000,2004982,3040776,1998724,5039500,1017590,37057,1054647
2100,6276,2203950,2210226,3258144,2200034,5458178,1090246,39133,1129379
2200,6573,2418900,2425473,3557919,2418039,5975958,1190371,41237,1231608
