k,assignments_bubble,comparisons_bubble
100,7266,4914
200,32037,19575
300,67383,44574
400,118701,79680
500,181200,124315
600,276840,178524
700,365511,243984
800,477555,319509
900,594801,404225
1000,764454,499310
1100,890760,603274
1200,1098189,717969
1300,1273368,843684
1400,1498203,978772
1500,1729497,1122765
1600,1951215,1275960
1700,2142159,1442610
1800,2405373,1618470
1900,2660016,1803995
2000,2961369,1994247
2100,3238152,2202774
2200,3709680,2418270
2300,3991881,2643499
2400,4250031,2876315
2500,4741227,3122097
2600,5035641,3378375
2700,5420787,3642984
2800,5919747,3916115
2900,6219318,4203054
3000,6675234,4494845
3100,7004496,4798697
3200,7598253,5117365
3300,8203638,5439609
3400,8635746,5774814
3500,9238155,6120835
3600,9655245,6478145
3700,10210701,6837690
3800,10689360,7216560
3900,11348253,7601922
4000,11862945,7995789
4100,12454434,8402944
4200,13275321,8817270
4300,13851438,9235590
4400,14399058,9674314
4500,15307245,10114365
4600,16045509,10572447
4700,16691076,11042497
4800,17467698,11513322
4900,17700582,12002250
5000,18873903,12493314
5100,19418229,12992439
5200,20345775,13508622
5300,21401634,14040270
5400,22047927,14564420
5500,23011317,15118064
5600,23342793,15674274
5700,24281283,16241520
5800,24746373,16811429
5900,25905333,17401230
6000,27375702,17996747
6100,27694797,18595164
6200,28821579,19196599
6300,29590158,19827989
6400,30324831,20470014
6500,31712772,21108547
6600,32803644,21771650
6700,33829482,22424997
6800,34918290,23113440
6900,36005781,23797455
7000,36718440,24494730
7100,37328157,25193065
7200,38592936,25913625
7300,40224312,26639139
7400,40885050,27370735
7500,42322983,28120844
7600,42992424,28872014
7700,44379186,29622814
7800,45397179,30409884
7900,47018307,31196199
8000,48584022,31994047
8100,49318134,32791359
8200,49901568,33614189
8300,52152573,34429374
8400,53701710,35274030
8500,53554422,36115800
8600,54935199,36968914
8700,56208294,37840419
8800,57483168,38706009
8900,59276589,39595194
9000,61288173,40479747
9100,62428098,41399670
9200,64090458,42314272
9300,65159319,43229025
9400,65965986,44173284
9500,68213562,45119844
9600,69072906,46068872
9700,71034486,47039979
9800,71863035,48014964
9900,73904064,48993147
100,7341,4884
200,30984,19575
300,68943,44499
400,121128,79764
500,183849,123760
600,265344,179634
700,365358,244545
800,502194,319447
900,582219,404115
1000,771387,498510
1100,898998,603670
1200,1052937,718935
1300,1254033,842004
1400,1453338,979164
1500,1694673,1124060
1600,1903482,1278794
1700,2199696,1444030
1800,2377827,1614822
1900,2619936,1801349
2000,2970057,1997674
2100,3283965,2202960
2200,3647358,2418339
2300,3997779,2640769
2400,4457415,2878365
2500,4759551,3120429
2600,5097804,3373549
2700,5456979,3639995
2800,5679639,3915030
2900,6260772,4200229
3000,6608820,4494495
3100,7256148,4801559
3200,7748148,5116630
3300,8137896,5440575
3400,8567247,5774645
3500,9188298,6116464
3600,9537099,6471060
3700,10345560,6842799
3800,10841112,7214940
3900,11453835,7596722
4000,12044592,7997472
4100,12633261,8401120
4200,13068786,8812749
4300,13631688,9239529
4400,14447784,9677449
4500,15087879,10119975
4600,15963021,10575072
4700,16659549,11042530
4800,17370048,11514114
4900,17928969,12001730
5000,18899187,12497004
5100,19356564,13001954
5200,19883751,13508754
5300,21098229,14039347
5400,21747723,14573897
5500,22315083,15120872
5600,23592690,15675975
5700,24309501,16234275
5800,25185270,16797399
5900,26039937,17401860
6000,26549337,17989374
6100,27819261,18600354
6200,28907439,19207989
6300,29425113,19840254
6400,30808944,20471022
6500,32251449,21113365
6600,32408433,21773925
6700,33810207,22438410
6800,34743384,23111449
6900,35883438,23799135
7000,36739275,24490935
7100,37673364,25190572
7200,38972322,25913985
7300,39619746,26638500
7400,41429595,27376195
7500,42156387,28110372
7600,43263855,28866747
7700,44197158,29639197
7800,45867480,30414825
7900,46683738,31184579
8000,48216942,31981122
8100,49250181,32778159
8200,50687415,33612974
8300,51253302,34440525
8400,52813617,35272950
8500,54622089,36114645
8600,55557777,36966789
8700,56456274,37829624
8800,58753692,38699847
8900,59435544,39570904
9000,60992076,40489172
9100,62573688,41392194
9200,63848043,42303154
