k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
100,297,4950,5247,1236,4947,6183,2494,1452,3946
200,597,19900,20497,2838,19764,22602,10264,3493,13757
300,897,44850,45747,4317,44574,48891,22688,5711,28399
400,1197,79800,80997,4884,54149,59033,38959,8133,47092
500,1497,124750,126247,7803,124372,132175,60024,10666,70690
600,1797,179700,181497,8391,162309,170700,94587,13199,107786
700,2097,244650,246747,10146,174899,185045,121355,15933,137288
800,2397,319600,321997,10221,144072,154293,159044,18670,177714
900,2697,404550,407247,15156,359999,375155,202079,21473,223552
1000,2997,499500,502497,14556,342420,356976,261110,24309,285419
1100,3297,604450,607747,15513,400609,416122,313477,27088,340565
1200,3597,719400,722997,21390,471944,493334,364975,30044,395019
1300,3897,844350,848247,23574,713022,736596,415836,33009,448845
1400,4197,979300,983497,25224,860959,886183,487297,35968,523265
1500,4497,1124250,1128747,25713,818097,843810,583994,39113,623107
1600,4797,1279200,1283997,31314,1278570,1309884,629840,42195,672035
1700,5097,1444150,1449247,29487,882880,912367,717018,45154,762172
1800,5397,1619100,1624497,33642,1578914,1612556,832974,48332,881306
1900,5697,1804050,1809747,33696,1630884,1664580,909674,51417,961091
2000,5997,1999000,2004997,38115,1885474,1923589,1017923,54595,1072518
2100,6297,2203950,2210247,36138,1479744,1515882,1101025,57605,1158630
2200,6597,2418900,2425497,38697,1229247,1267944,1204228,60798,1265026
2300,6897,2643850,2650747,44859,2496154,2541013,1295341,63997,1359338
2400,7197,2878800,2885997,45702,2442155,2487857,1431473,67187,1498660
2500,7497,3123750,3131247,47730,2819160,2866890,1585731,70494,1656225
2600,7797,3378700,3386497,48801,2631447,2680248,1707564,73627,1781191
2700,8097,3643650,3651747,51042,2381984,2433026,1830274,76985,1907259
2800,8397,3918600,3926997,54198,3114054,3168252,1992016,80391,2072407
2900,8697,4203550,4212247,56478,3313105,3369583,2096650,83758,2180408
3000,8997,4498500,4507497,61011,2557065,2618076,2251416,87068,2338484
3100,9297,4803450,4812747,62145,4644684,4706829,2366230,90390,2456620
3200,9597,5118400,5127997,59877,3511872,3571749,2599117,93958,2693075
3300,9897,5443350,5453247,51603,2908724,2960327,2733523,97298,2830821
3400,10197,5778300,5788497,68397,5244239,5312636,2951047,100695,3051742
3500,10497,6123250,6133747,60618,3449422,3510040,3067113,104014,3171127
3600,10797,6478200,6488997,69048,5682509,5751557,3217133,107429,3324562
3700,11097,6843150,6854247,65802,3959549,4025351,3431605,110838,3542443
3800,11397,7218100,7229497,79977,7211884,7291861,3598798,114322,3713120
3900,11697,7603050,7614747,72045,6469785,6541830,3817467,117626,3935093
4000,11997,7998000,8009997,74949,5349549,5424498,4025550,121089,4146639
4100,12297,8402950,8415247,90972,7981129,8072101,4175636,124510,4300146
4200,12597,8817900,8830497,89847,6471039,6560886,4353520,127853,4481373
4300,12897,9242850,9255747,89412,9015375,9104787,4652897,131436,4784333
4400,13197,9677800,9690997,118827,9509310,9628137,4870142,134830,5004972
4500,13497,10122750,10136247,82767,6389472,6472239,5048727,138215,5186942
4600,13797,10577700,10591497,97698,10007922,10105620,5241400,141696,5383096
4700,14097,11042650,11056747,92625,7143622,7236247,5534380,145240,5679620
4800,14397,11517600,11531997,99093,10988694,11087787,5646889,148751,5795640
4900,14697,12002550,12017247,112941,11909885,12022826,6041497,152217,6193714
5000,14997,12497500,12512497,117012,10953097,11070109,6224410,155878,6380288
5100,15297,13002450,13017747,94671,7186695,7281366,6513843,159410,6673253
5200,15597,13517400,13532997,100059,7756085,7856144,6800333,163053,6963386
5300,15897,14042350,14058247,106014,12232597,12338611,6975031,166675,7141706
5400,16197,14577300,14593497,111339,12249897,12361236,7204624,170261,7374885
5500,16497,15122250,15138747,134301,15035097,15169398,7609341,173844,7783185
5600,16797,15677200,15693997,127140,12185797,12312937,7855498,177595,8033093
5700,17097,16242150,16259247,130749,16223040,16353789,8027138,181187,8208325
5800,17397,16817100,16834497,123906,11963930,12087836,8403539,184767,8588306
5900,17697,17402050,17419747,110118,11705050,11815168,8677266,188467,8865733
6000,17997,17997000,18014997,127302,14069997,14197299,8884350,192137,9076487
6100,18297,18601950,18620247,119982,13380654,13500636,9287532,195921,9483453
6200,18597,19216900,19235497,130080,15320664,15450744,9731739,199519,9931258
6300,18897,19841850,19860747,140337,17405322,17545659,10025957,203147,10229104
6400,19197,20476800,20495997,134421,14276319,14410740,10235502,206829,10442331
6500,19497,21121750,21141247,145116,14103619,14248735,10621855,210571,10832426
6600,19797,21776700,21796497,178131,21764139,21942270,11078525,214232,11292757
6700,20097,22441650,22461747,143148,17291205,17434353,10977715,218067,11195782
6800,20397,23116600,23136997,148224,16147089,16295313,11624984,221749,11846733
6900,20697,23801550,23822247,156726,19484159,19640885,11880691,225500,12106191
7000,20997,24496500,24517497,178386,24338297,24516683,12269414,229035,12498449
7100,21297,25201450,25222747,154368,22485835,22640203,12455942,232798,12688740
7200,21597,25916400,25937997,164478,25025955,25190433,12916928,236564,13153492
7300,21897,26641350,26663247,167961,23411739,23579700,13352899,240231,13593130
7400,22197,27376300,27398497,159069,20013097,20172166,13705751,244033,13949784
7500,22497,28121250,28143747,177195,21739872,21917067,14120425,247769,14368194
7600,22797,28876200,28898997,176487,19573059,19749546,14464279,251262,14715541
7700,23097,29641150,29664247,168681,28821310,28989991,14957903,255022,15212925
7800,23397,30416100,30439497,192687,30407189,30599876,15182263,258740,15441003
7900,23697,31201050,31224747,174270,29689859,29864129,15430539,262527,15693066
8000,23997,31996000,32019997,185709,31610997,31796706,16160358,266080,16426438
8100,24297,32800950,32825247,164271,20117784,20282055,16285572,269924,16555496
8200,24597,33615900,33640497,174420,22322772,22497192,16671405,273552,16944957
8300,24897,34440850,34465747,225444,34388524,34613968,17287276,277228,17564504
8400,25197,35275800,35300997,180786,27586719,27767505,17768602,281096,18049698
8500,25497,36120750,36146247,180066,22004109,22184175,18032727,284700,18317427
8600,25797,36975700,37001497,183849,24029284,24213133,18542148,288280,18830428
8700,26097,37840650,37866747,198489,37798455,37996944,18989386,292223,19281609
8800,26397,38715600,38741997,225585,33871772,34097357,19580035,295911,19875946
8900,26697,39600550,39627247,197328,29697075,29894403,19765169,299599,20064768
9000,26997,40495500,40522497,213315,40191690,40405005,20249500,303554,20553054
9100,27297,41400450,41427747,219939,37417197,37637136,20679827,307302,20987129
9200,27597,42315400,42342997,194628,29642305,29836933,21245158,310975,21556133
9300,27897,43240350,43268247,206556,31669895,31876451,21683888,314834,21998722
9400,28197,44175300,44203497,233592,42261354,42494946,22067365,318699,22386064
9500,28497,45120250,45148747,226608,44492490,44719098,22817433,322399,23139832
9600,28797,46075200,46103997,208449,23128275,23336724,23103998,326288,23430286
9700,29097,47040150,47069247,217401,35517750,35735151,23657471,330300,23987771
9800,29397,48015100,48044497,242493,37647919,37890412,24103098,334054,24437152
9900,29697,49000050,49029747,221919,35705304,35927223,24559510,337973,24897483
100,297,4950,5247,966,4779,5745,2585,1452,4037
200,597,19900,20497,2454,17050,19504,10576,3466,14042
300,897,44850,45747,3171,26322,29493,22161,5699,27860
400,1197,79800,80997,6990,77025,84015,42688,8163,50851
500,1497,124750,126247,6615,101959,108574,63919,10627,74546
600,1797,179700,181497,10575,179697,190272,92400,13217,105617
700,2097,244650,246747,13146,241569,254715,125508,15882,141390
800,2397,319600,321997,11223,230769,241992,165367,18673,184040
900,2697,404550,407247,15987,393524,409511,211088,21473,232561
1000,2997,499500,502497,16071,378714,394785,250579,24312,274891
1100,3297,604450,607747,14619,297514,312133,295994,27121,323115
1200,3597,719400,722997,17502,602514,620016,360463,30023,390486
1300,3897,844350,848247,20163,463722,483885,429937,33015,462952
1400,4197,979300,983497,23352,639400,662752,502812,35983,538795
1500,4497,1124250,1128747,32220,1029855,1062075,558861,39122,597983
1600,4797,1279200,1283997,27036,1106622,1133658,640843,42198,683041
1700,5097,1444150,1449247,29088,932584,961672,729641,45235,774876
1800,5397,1619100,1624497,31881,1351554,1383435,791051,48356,839407
1900,5697,1804050,1809747,39768,1461672,1501440,908973,51414,960387
2000,5997,1999000,2004997,40662,1998829,2039491,970226,54502,1024728
2100,6297,2203950,2210247,40914,2148672,2189586,1101855,57680,1159535
2200,6597,2418900,2425497,42498,1993397,2035895,1225437,60810,1286247
2300,6897,2643850,2650747,38580,1912405,1950985,1346941,63985,1410926
2400,7197,2878800,2885997,47487,2203097,2250584,1443447,67124,1510571
2500,7497,3123750,3131247,48048,2068872,2116920,1564557,70503,1635060
2600,7797,3378700,3386497,53088,3378469,3431557,1712618,73645,1786263
2700,8097,3643650,3651747,51504,3005765,3057269,1821168,76994,1898162
2800,8397,3918600,3926997,51768,2396960,2448728,1934848,80367,2015215
2900,8697,4203550,4212247,52557,3576910,3629467,2130058,83692,2213750
3000,8997,4498500,4507497,57138,3235245,3292383,2244110,87059,2331169
3100,9297,4803450,4812747,58548,4196799,4255347,2345775,90480,2436255
3200,9597,5118400,5127997,63066,2574760,2637826,2599631,93823,2693454
3300,9897,5443350,5453247,66768,4329572,4396340,2761585,97220,2858805
3400,10197,5778300,5788497,69483,5713680,5783163,2861279,100692,2961971
3500,10497,6123250,6133747,77073,5797222,5874295,3120531,104101,3224632
3600,10797,6478200,6488997,74688,6377624,6452312,3218086,107474,3325560
3700,11097,6843150,6854247,66654,3865130,3931784,3369054,110973,3480027
3800,11397,7218100,7229497,88548,6920494,7009042,3595861,114250,3710111
3900,11697,7603050,7614747,99660,7601969,7701629,3805898,117677,3923575
4000,11997,7998000,8009997,83610,5868984,5952594,3897100,121059,4018159
4100,12297,8402950,8415247,90912,8125810,8216722,4201701,124525,4326226
4200,12597,8817900,8830497,76365,6053124,6129489,4457666,127919,4585585
4300,12897,9242850,9255747,97290,9214884,9312174,4627166,131328,4758494
4400,13197,9677800,9690997,81336,8518797,8600133,4950256,134728,5084984
4500,13497,10122750,10136247,97440,10056684,10154124,5029913,138215,5168128
4600,13797,10577700,10591497,105348,10495890,10601238,5214542,141696,5356238
4700,14097,11042650,11056747,96237,8857555,8953792,5471517,145270,5616787
4800,14397,11517600,11531997,99168,9650322,9749490,5778554,148685,5927239
4900,14697,12002550,12017247,97173,8836164,8933337,5948544,152334,6100878
5000,14997,12497500,12512497,95883,8206515,8302398,6242039,156013,6398052
5100,15297,13002450,13017747,129687,12464247,12593934,6527076,159458,6686534
5200,15597,13517400,13532997,112281,10195647,10307928,6836325,162990,6999315
5300,15897,14042350,14058247,107466,12202029,12309495,7033866,166585,7200451
5400,16197,14577300,14593497,119403,14337522,14456925,7301442,170354,7471796
5500,16497,15122250,15138747,112869,12709944,12822813,7519759,173751,7693510
5600,16797,15677200,15693997,122076,13633969,13756045,8054896,177346,8232242
5700,17097,16242150,16259247,114345,12782385,12896730,8050303,181118,8231421
5800,17397,16817100,16834497,127782,16732022,16859804,8335269,184824,8520093
5900,17697,17402050,17419747,135594,15750397,15885991,8657932,188425,8846357
6000,17997,17997000,18014997,129198,15855585,15984783,9064307,192056,9256363
6100,18297,18601950,18620247,124395,14802804,14927199,9214600,195819,9410419
6200,18597,19216900,19235497,131844,17444997,17576841,9690679,199804,9890483
6300,18897,19841850,19860747,126072,13669509,13795581,9827074,203195,10030269
6400,19197,20476800,20495997,128850,17946675,18075525,10251394,206754,10458148
6500,19497,21121750,21141247,148203,16346155,16494358,10504841,210634,10715475
6600,19797,21776700,21796497,146562,20626814,20773376,10889043,214163,11103206
6700,20097,22441650,22461747,148563,14697570,14846133,11190937,218067,11409004
6800,20397,23116600,23136997,153360,17797909,17951269,11716053,221695,11937748
6900,20697,23801550,23822247,151677,14840289,14991966,11659232,225443,11884675
7000,20997,24496500,24517497,147471,21164429,21311900,12130010,229146,12359156
7100,21297,25201450,25222747,142425,17203450,17345875,12543375,232729,12776104
7200,21597,25916400,25937997,203271,25915224,26118495,12907432,236546,13143978
7300,21897,26641350,26663247,163533,14697522,14861055,13490555,240309,13730864
7400,22197,27376300,27398497,173850,26997415,27171265,13692917,244003,13936920
7500,22497,28121250,28143747,187548,27855165,28042713,14208794,247649,14456443
7600,22797,28876200,28898997,172008,20628309,20800317,14241881,251346,14493227
7700,23097,29641150,29664247,162186,21506589,21668775,14912255,255109,15167364
7800,23397,30416100,30439497,175734,30322139,30497873,15230604,258785,15489389
7900,23697,31201050,31224747,174732,25168449,25343181,15516671,262350,15779021
8000,23997,31996000,32019997,166221,22047970,22214191,16009984,265996,16275980
8100,24297,32800950,32825247,175680,27765399,27941079,16355320,269906,16625226
8200,24597,33615900,33640497,197655,33606447,33804102,16750321,273534,17023855
8300,24897,34440850,34465747,175254,28088020,28263274,16824804,277273,17102077
8400,25197,35275800,35300997,183960,28159922,28343882,17622501,281045,17903546
8500,25497,36120750,36146247,206910,35780850,35987760,18172842,284748,18457590
8600,25797,36975700,37001497,186207,27767214,27953421,18612821,288433,18901254
8700,26097,37840650,37866747,202059,34000044,34202103,19129121,292325,19421446
8800,26397,38715600,38741997,192750,32023289,32216039,19399757,296010,19695767
8900,26697,39600550,39627247,234504,39585844,39820348,19656100,299656,19955756
9000,26997,40495500,40522497,225606,40123547,40349153,20404228,303578,20707806
9100,27297,41400450,41427747,219969,39027519,39247488,20667209,307398,20974607
9200,27597,42315400,42342997,215262,36185149,36400411,21401362,310837,21712199
9300,27897,43240350,43268247,213066,35278305,35491371,21665089,315011,21980100
9400,28197,44175300,44203497,235419,43630854,43866273,22171244,318678,22489922
9500,28497,45120250,45148747,210492,25977672,26188164,22461812,322651,22784463
9600,28797,46075200,46103997,203370,33816524,34019894,23043714,326357,23370071
9700,29097,47040150,47069247,214332,33673115,33887447,23825663,330123,24155786
9800,29397,48015100,48044497,262917,43374519,43637436,23885090,333904,24218994
9900,29697,49000050,49029747,229353,43556700,43786053,24631805,337787,24969592
100,297,4950,5247,1380,4905,6285,2828,1434,4262
200,597,19900,20497,2640,19494,22134,10084,3490,13574
300,897,44850,45747,4014,44385,48399,23366,5702,29068
400,1197,79800,80997,5808,71672,77480,41754,8154,49908
500,1497,124750,126247,7650,122605,130255,63176,10669,73845
600,1797,179700,181497,8574,131495,140069,89288,13220,102508
700,2097,244650,246747,13998,236265,250263,126718,15855,142573
800,2397,319600,321997,11955,316519,328474,158251,18727,176978
900,2697,404550,407247,15849,404115,419964,209220,21512,230732
1000,2997,499500,502497,17646,492479,510125,249074,24309,273383
1100,3297,604450,607747,17649,320569,338218,311399,27115,338514
1200,3597,719400,722997,20388,700872,721260,373267,29951,403218
1300,3897,844350,848247,29781,843822,873603,422223,32979,455202
1400,4197,979300,983497,23322,568429,591751,484882,36040,520922
1500,4497,1124250,1128747,30897,1121904,1152801,562202,39032,601234
1600,4797,1279200,1283997,23181,636789,659970,636290,42123,678413
1700,5097,1444150,1449247,28275,1315372,1343647,734641,45220,779861
1800,5397,1619100,1624497,31725,1119600,1151325,804944,48326,853270
