k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
100,297,4950,5247,0,99,99,1619,331,1950
200,597,19900,20497,0,199,199,7709,872,8581
300,897,44850,45747,0,299,299,13448,2057,15505
400,1197,79800,80997,0,399,399,23517,3654,27171
500,1497,124750,126247,0,499,499,24621,5895,30516
600,1797,179700,181497,0,599,599,35311,8578,43889
700,2097,244650,246747,0,699,699,47219,11879,59098
800,2397,319600,321997,0,799,799,139438,13460,152898
900,2697,404550,407247,0,899,899,65349,17947,83296
1000,2997,499500,502497,0,999,999,149589,21252,170841
1100,3297,604450,607747,0,1099,1099,240419,24201,264620
1200,3597,719400,722997,0,1199,1199,360956,25592,386548
1300,3897,844350,848247,0,1299,1299,221564,30389,251953
1400,4197,979300,983497,0,1399,1399,489472,32154,521626
1500,4497,1124250,1128747,0,1499,1499,273363,37541,310904
1600,4797,1279200,1283997,0,1599,1599,353799,43420,397219
1700,5097,1444150,1449247, 0,1699,1699,676870,46819,723689
1800,5397,1619100,1624497,0,1799,1799,790297,49456,839753
1900,5697,1804050,1809747,0,1899,1899,654422,55951,710373
2000,5997,1999000,2004997,0,1999,1999,852248,60388,912636
2100,6297,2203950,2210247,0,2099,2099,1071004,63617,1134621
2200,6597,2418900,2425497,0,2199,2199,504432,72090,576522
2300,6897,2643850,2650747,0,2299,2299,1038466,77003,1115469
2400,7197,2878800,2885997,0,2399,2399,840467,86348,926815
2500,7497,3123750,3131247,0,2499,2499,604550,97087,701637
2600,7797,3378700,3386497,0,2599,2599,579842,109806,689648
2700,8097,3643650,3651747,0,2699,2699,1240761,118085,1358846
2800,8397,3918600,3926997,0,2799,2799,1159486,125904,1285390
2900,8697,4203550,4212247,0,2899,2899,2083868,129641,2213509
3000,8997,4498500,4507497,0,2999,2999,1615342,138634,1753976
3100,9297,4803450,4812747,0,3099,3099,2406606,141915,2548521
3200,9597,5118400,5127997,0,3199,3199,1532234,154000,1686234
3300,9897,5443350,5453247,0,3299,3299,1336385,165369,1501754
3400,10197,5778300,5788497,0,3399,3399,2850649,170682,3021331
3500,10497,6123250,6133747,0,3499,3499,2738659,177947,2916606
3600,10797,6478200,6488997,0,3599,3599,1614869,191786,1806655
3700,11097,6843150,6854247,0,3699,3699,1132975,208951,1341926
3800,11397,7218100,7229497,0,3799,3799,3609917,213254,3823171
3900,11697,7603050,7614747,0,3899,3899,2069444,226375,2295819
4000,11997,7998000,8009997,0,3999,3999,4004411,230666,4235077
4100,12297,8402950,8415247,0,4099,4099,1749071,247889,1996960
4200,12597,8817900,8830497,0,4199,4199,3686508,257740,3944248
4300,12897,9242850,9255747,0,4299,4299,4574547,263349,4837896
4400,13197,9677800,9690997,0,4399,4399,3861656,273706,4135362
4500,13497,10122750,10136247,0,4499,4499,2906562,288079,3194641
4600,13797,10577700,10591497,0,4599,4599,5160212,295648,5455860
4700,14097,11042650,11056747,0,4699,4699,4313383,305857,4619240
4800,14397,11517600,11531997,0,4799,4799,2352232,325210,2677442
4900,14697,12002550,12017247,0,4899,4899,2680999,345233,3026232
5000,14997,12497500,12512497,0,4999,4999,3197959,363834,3561793
5100,15297,13002450,13017747,0,5099,5099,2059975,388373,2448348
5200,15597,13517400,13532997,0,5199,5199,6754224,394464,7148688
5300,15897,14042350,14058247,0,5299,5299,5698185,406951,6105136
5400,16197,14577300,14593497,0,5399,5399,3479224,428268,3907492
5500,16497,15122250,15138747,0,5499,5499,4278301,446279,4724580
5600,16797,15677200,15693997,0,5599,5599,4498387,461258,4959645
5700,17097,16242150,16259247,0,5699,5699,7679931,471265,8151196
5800,17397,16817100,16834497,0,5799,5799,7847927,483366,8331293
5900,17697,17402050,17419747,0,5899,5899,4995193,502561,5497754
6000,17997,17997000,18014997,0,5999,5999,4731625,523994,5255619
6100,18297,18601950,18620247,0,6099,6099,7399552,540701,7940253
6200,18597,19216900,19235497,0,6199,6199,7781505,554828,8336333
6300,18897,19841850,19860747,0,6299,6299,5096586,578477,5675063
6400,19197,20476800,20495997,0,6399,6399,10244768,585480,10830248
6500,19497,21121750,21141247,0,6499,6499,3783474,616955,4400429
6600,19797,21776700,21796497,0,6599,6599,7719453,633942,8353395
6700,20097,22441650,22461747,0,6699,6699,4077056,661865,4738921
6800,20397,23116600,23136997,0,6799,6799,6808331,679840,7488171
6900,20697,23801550,23822247,0,6899,6899,4680590,707341,5387931
7000,20997,24496500,24517497,0,6999,6999,11462715,720586,12183301
7100,21297,25201450,25222747,0,7099,7099,8731215,743073,9474288
7200,21597,25916400,25937997,0,7199,7199,10654630,759548,11414178
7300,21897,26641350,26663247,0,7299,7299,7239588,784523,8024111
7400,22197,27376300,27398497,0,7399,7399,13686067,792612,14478679
7500,22497,28121250,28143747,0,7499,7499,5350157,824507,6174664
7600,22797,28876200,28898997,0,7599,7599,9585484,843736,10429220
7700,23097,29641150,29664247,0,7699,7699,14239109,856913,15096022
7800,23397,30416100,30439497,0,7799,7799,4335486,895684,5231170
7900,23697,31201050,31224747,0,7899,7899,4729085,934523,5663608
8000,23997,31996000,32019997,0,7999,7999,12612215,956920,13569135
8100,24297,32800950,32825247,0,8099,8099,15901793,969799,16871592
8200,24597,33615900,33640497,0,8199,8199,5916723,1010382,6927105
8300,24897,34440850,34465747,0,8299,8299,11784951,1035079,12820030
8400,25197,35275800,35300997,0,8399,8399,9917450,1058604,10976054
8500,25497,36120750,36146247,0,8499,8499,16533414,1075769,17609183
8600,25797,36975700,37001497,0,8599,8599,12863449,1105718,13969167
8700,26097,37840650,37866747,0,8699,8699,11621677,1129671,12751348
8800,26397,38715600,38741997,0,8799,8799,17772406,1145152,18917558
8900,26697,39600550,39627247,0,8899,8899,19775738,1155571,20931309
9000,26997,40495500,40522497,0,8999,8999,18568036,1170982,19739018
9100,27297,41400450,41427747,0,9099,9099,20676093,1181307,21857400
9200,27597,42315400,42342997,0,9199,9199,12499675,1211546,13711221
9300,27897,43240350,43268247,0,9299,9299,13466843,1234503,14701346
9400,28197,44175300,44203497,0,9399,9399,11654357,1265814,12920171
9500,28497,45120250,45148747,0,9499,9499,22477755,1278011,23755766
9600,28797,46075200,46103997,0,9599,9599,21340137,1294244,22634381
9700,29097,47040150,47069247,0,9699,9699,23535470,1304217,24839687
9800,29397,48015100,48044497,0,9799,9799,9580855,1345414,10926269
9900,29697,49000050,49029747,0,9899,9899,12797966,1383583,14181549
100,297,4950,5247,0,99,99,2646,1383688,1386334
200,597,19900,20497,0,199,199,9566,1384101,1393667
300,897,44850,45747,0,299,299,9291,1385344,1394635
400,1197,79800,80997,0,399,399,13238,1387231,1400469
500,1497,124750,126247,0,499,499,31488,1388894,1420382
600,1797,179700,181497,0,599,599,74771,1390643,1465414
700,2097,244650,246747,0,699,699,67062,1392924,1459986
800,2397,319600,321997,0,799,799,96231,1395169,1491400
900,2697,404550,407247,0,899,899,83785,1398808,1482593
1000,2997,499500,502497,0,999,999,96441,1403493,1499934
1100,3297,604450,607747,0,1099,1099,303217,1404798,1708015
