k,assignments_select,comparisons_select
100,14775,4950
200,59655,19900
300,134508,44850
400,239370,79800
500,374226,124750
600,538974,179700
700,733947,244650
800,958776,319600
900,1213605,404550
1000,1498410,499500
1100,1813317,604450
1200,2158128,719400
1300,2533020,844350
1400,2937864,979300
1500,3372723,1124250
1600,3837564,1279200
1700,4332426,1444150
1800,4857249,1619100
1900,5412099,1804050
2000,5996955,1999000
2100,6611802,2203950
2200,7256670,2418900
2300,7931511,2643850
2400,8636358,2878800
2500,9371232,3123750
2600,10136064,3378700
2700,10930917,3643650
2800,11755746,3918600
2900,12610629,4203550
3000,13495476,4498500
3100,14410281,4803450
3200,15355170,5118400
3300,16329975,5443350
3400,17334858,5778300
3500,18369690,6123250
3600,19434567,6478200
3700,20529366,6843150
3800,21654288,7218100
3900,22808949,7603050
4000,23993955,7998000
4100,25208820,8402950
4200,26453679,8817900
4300,27728529,9242850
4400,29033205,9677800
4500,30368187,10122750
4600,31733037,10577700
4700,33127911,11042650
4800,34552755,11517600
4900,36007587,12002550
5000,37492410,12497500
5100,39007299,13002450
5200,40552182,13517400
5300,42126987,14042350
5400,43731849,14577300
5500,45366723,15122250
5600,47031579,15677200
5700,48726396,16242150
5800,50451243,16817100
5900,52206105,17402050
6000,53990901,17997000
6100,55805802,18601950
6200,57650661,19216900
6300,59525517,19841850
6400,61430316,20476800
6500,63365226,21121750
6600,65330052,21776700
6700,67324926,22441650
6800,69349782,23116600
6900,71404587,23801550
7000,73489404,24496500
7100,75604314,25201450
7200,77749134,25916400
7300,79924008,26641350
7400,82128840,27376300
7500,84363693,28121250
7600,86628567,28876200
7700,88923387,29641150
7800,91248270,30416100
7900,93603096,31201050
8000,95987961,31996000
8100,98402826,32800950
8200,100847616,33615900
8300,103322487,34440850
8400,105827382,35275800
8500,108362223,36120750
8600,110927082,36975700
8700,113521905,37840650
8800,116146758,38715600
8900,118801623,39600550
9000,121486443,40495500
9100,124201320,41400450
9200,126946164,42315400
9300,129721026,43240350
9400,132525873,44175300
9500,135360687,45120250
9600,138225549,46075200
9700,141120420,47040150
9800,144045270,48015100
9900,147000114,49000050
100,14814,4950
200,59682,19900
300,134520,44850
400,239385,79800
500,374244,124750
600,539085,179700
700,733923,244650
800,958734,319600
900,1213569,404550
1000,1498413,499500
1100,1813329,604450
1200,2158137,719400
1300,2532957,844350
1400,2937855,979300
1500,3372714,1124250
1600,3837552,1279200
1700,4332423,1444150
1800,4857258,1619100
1900,5412108,1804050
2000,5996889,1999000
2100,6611706,2203950
2200,7256664,2418900
2300,7931532,2643850
2400,8636382,2878800
2500,9371214,3123750
2600,10136025,3378700
2700,10930914,3643650
2800,11755731,3918600
2900,12610605,4203550
3000,13495422,4498500
3100,14410326,4803450
3200,15355176,5118400
3300,16330035,5443350
3400,17334849,5778300
3500,18369681,6123250
3600,19434549,6478200
3700,20529288,6843150
3800,21654228,7218100
3900,22809090,7603050
4000,23993943,7998000
4100,25208817,8402950
4200,26453667,8817900
4300,27728514,9242850
4400,29033358,9677800
4500,30368214,10122750
4600,31733076,10577700
4700,33127911,11042650
4800,34552785,11517600
4900,36007611,12002550
5000,37492212,12497500
5100,39007290,13002450
5200,40552140,13517400
5300,42126993,14042350
5400,43731810,14577300
5500,45366699,15122250
5600,47031531,15677200
5700,48726393,16242150
5800,50451267,16817100
5900,52206135,17402050
6000,53990961,17997000
6100,55805832,18601950
6200,57650667,19216900
6300,59525490,19841850
6400,61430367,20476800
6500,63365202,21121750
6600,65330067,21776700
6700,67324920,22441650
6800,69349734,23116600
6900,71404602,23801550
7000,73489461,24496500
7100,75604296,25201450
7200,77749149,25916400
7300,79923942,26641350
7400,82128867,27376300
7500,84363714,28121250
7600,86628483,28876200
7700,88923414,29641150
7800,91248264,30416100
7900,93603126,31201050
8000,95987973,31996000
8100,98402823,32800950
8200,100847670,33615900
8300,103322514,34440850
8400,105827379,35275800
8500,108362172,36120750
8600,110927058,36975700
8700,113521905,37840650
8800,116146740,38715600
8900,118801605,39600550
9000,121486422,40495500
9100,124201296,41400450
9200,126946164,42315400
9300,129721029,43240350
9400,132525741,44175300
9500,135360720,45120250
9600,138225570,46075200
9700,141120408,47040150
9800,144045252,48015100
9900,147000138,49000050
100,14844,4950
200,59667,19900
300,134526,44850
400,239358,79800
500,374121,124750
600,539040,179700
700,733914,244650
800,958752,319600
900,1213629,404550
1000,1498464,499500
1100,1813038,604450
1200,2158173,719400
1300,2532906,844350
1400,2937846,979300
1500,3372696,1124250
1600,3837552,1279200
1700,4332435,1444150
1800,4857186,1619100
1900,5412108,1804050
2000,5996940,1999000
2100,6611823,2203950
2200,7256673,2418900
2300,7931517,2643850
2400,8636382,2878800
2500,9371229,3123750
2600,10136058,3378700
2700,10930899,3643650
2800,11755767,3918600
2900,12610611,4203550
3000,13495449,4498500
3100,14410329,4803450
3200,15355164,5118400
3300,16329999,5443350
3400,17334849,5778300
3500,18369726,6123250
3600,19434567,6478200
3700,20529414,6843150
3800,21654264,7218100
3900,22809129,7603050
4000,23993976,7998000
4100,25208829,8402950
4200,26453661,8817900
4300,27728499,9242850
4400,29033316,9677800
4500,30368214,10122750
4600,31733082,10577700
4700,33127902,11042650
4800,34552776,11517600
4900,36007509,12002550
5000,37492458,12497500
5100,39007302,13002450
5200,40552179,13517400
5300,42127026,14042350
5400,43731852,14577300
5500,45366699,15122250
5600,47031522,15677200
5700,48726396,16242150
5800,50451249,16817100
5900,52206111,17402050
6000,53990973,17997000
6100,55805799,18601950
6200,57650634,19216900
6300,59525496,19841850
6400,61430346,20476800
6500,63365202,21121750
6600,65330019,21776700
6700,67324905,22441650
6800,69349746,23116600
6900,71404635,23801550
7000,73489455,24496500
7100,75604260,25201450
7200,77749158,25916400
7300,79924014,26641350
7400,82128873,27376300
7500,84363687,28121250
7600,86628549,28876200
7700,88923426,29641150
7800,91248114,30416100
7900,93603141,31201050
8000,95987973,31996000
8100,98402814,32800950
8200,100847673,33615900
8300,103322409,34440850
8400,105827358,35275800
8500,108362226,36120750
8600,110927025,36975700
8700,113521911,37840650
8800,116146752,38715600
8900,118801599,39600550
9000,121486461,40495500
9100,124201299,41400450
9200,126946158,42315400
9300,129721011,43240350
9400,132525873,44175300
9500,135360687,45120250
9600,138225576,46075200
9700,141120375,47040150
9800,144045264,48015100
9900,147000057,49000050
100,14799,4950
200,59658,19900
300,134526,44850
400,239376,79800
500,374214,124750
600,539052,179700
700,733884,244650
800,958758,319600
900,1213635,404550
1000,1498464,499500
1100,1813311,604450
1200,2158182,719400
1300,2533011,844350
1400,2937882,979300
1500,3372717,1124250
1600,3837510,1279200
1700,4332417,1444150
1800,4857273,1619100
1900,5412108,1804050
2000,5996967,1999000
2100,6611793,2203950
2200,7256682,2418900
2300,7931514,2643850
2400,8636370,2878800
2500,9371193,3123750
2600,10136016,3378700
2700,10930803,3643650
2800,11755779,3918600
2900,12610614,4203550
3000,13495443,4498500
3100,14410326,4803450
3200,15355179,5118400
3300,16330005,5443350
3400,17334822,5778300
3500,18369705,6123250
3600,19434561,6478200
3700,20529429,6843150
3800,21654249,7218100
3900,22809117,7603050
4000,23993925,7998000
4100,25208808,8402950
4200,26453670,8817900
4300,27728523,9242850
4400,29033388,9677800
4500,30368217,10122750
4600,31733070,10577700
4700,33127914,11042650
4800,34552764,11517600
4900,36007590,12002550
5000,37492479,12497500
5100,39007293,13002450
5200,40552164,13517400
5300,42126990,14042350
5400,43731855,14577300
5500,45366687,15122250
5600,47031558,15677200
5700,48726261,16242150
5800,50451273,16817100
5900,52206054,17402050
6000,53990946,17997000
6100,55805805,18601950
6200,57650640,19216900
6300,59525496,19841850
6400,61430373,20476800
6500,63365163,21121750
6600,65330022,21776700
6700,67324917,22441650
6800,69349752,23116600
6900,71404602,23801550
7000,73489464,24496500
7100,75604332,25201450
7200,77749161,25916400
7300,79924038,26641350
7400,82128852,27376300
7500,84363687,28121250
7600,86628537,28876200
7700,88923387,29641150
7800,91248237,30416100
7900,93603099,31201050
8000,95987946,31996000
8100,98402799,32800950
8200,100847667,33615900
8300,103322526,34440850
8400,105827358,35275800
8500,108362220,36120750
8600,110927088,36975700
8700,113521884,37840650
8800,116146677,38715600
8900,118801602,39600550
9000,121486473,40495500
9100,124201278,41400450
9200,126946176,42315400
9300,129720987,43240350
9400,132525846,44175300
9500,135360702,45120250
9600,138225570,46075200
9700,141120411,47040150
9800,144045228,48015100
9900,147000141,49000050
100,14823,4950
200,59670,19900
300,134520,44850
400,239370,79800
500,374202,124750
600,539070,179700
700,733932,244650
800,958755,319600
900,1213617,404550
1000,1498458,499500
1100,1813329,604450
1200,2158185,719400
1300,2532969,844350
1400,2937864,979300
1500,3372741,1124250
1600,3837543,1279200
1700,4332414,1444150
1800,4857255,1619100
1900,5412114,1804050
2000,5996961,1999000
2100,6611820,2203950
2200,7256661,2418900
2300,7931514,2643850
2400,8636349,2878800
2500,9371208,3123750
2600,10136073,3378700
2700,10930911,3643650
2800,11755773,3918600
2900,12610620,4203550
3000,13495464,4498500
3100,14410293,4803450
3200,15355158,5118400
3300,16330014,5443350
3400,17334840,5778300
3500,18369621,6123250
3600,19434522,6478200
3700,20529426,6843150
3800,21654276,7218100
3900,22809123,7603050
4000,23993961,7998000
4100,25208808,8402950
4200,26453598,8817900
4300,27728451,9242850
4400,29033343,9677800
4500,30368205,10122750
4600,31733055,10577700
4700,33127905,11042650
4800,34552746,11517600
4900,36007284,12002550
5000,37492455,12497500
5100,39007296,13002450
5200,40552140,13517400
5300,42126996,14042350
5400,43731888,14577300
5500,45366729,15122250
5600,47031567,15677200
5700,48726411,16242150
5800,50451267,16817100
5900,52206048,17402050
6000,53990976,17997000
6100,55805802,18601950
6200,57650625,19216900
6300,59525475,19841850
6400,61430364,20476800
6500,63365163,21121750
6600,65330079,21776700
6700,67324929,22441650
6800,69349752,23116600
6900,71404629,23801550
7000,73489464,24496500
7100,75604332,25201450
7200,77749161,25916400
7300,79923981,26641350
7400,82128852,27376300
7500,84363714,28121250
7600,86628546,28876200
7700,88923429,29641150
7800,91248216,30416100
7900,93603078,31201050
8000,95987964,31996000
8100,98402808,32800950
8200,100847670,33615900
8300,103322514,34440850
8400,105827376,35275800
8500,108362184,36120750
8600,110927058,36975700
8700,113521881,37840650
8800,116146761,38715600
8900,118801611,39600550
9000,121486458,40495500
9100,124201278,41400450
9200,126946113,42315400
9300,129721002,43240350
9400,132525810,44175300
9500,135360720,45120250
9600,138225471,46075200
9700,141120414,47040150
9800,144045240,48015100
9900,147000120,49000050
