Row Labels,Average of comparisons_select,Average of comparisons_binInsertion,Average of comparisons_bubble
100,4950,1444.2,4541.8
200,19900,3487.6,17604.8
300,44850,5711.6,38551
400,79800,8151,66168
500,124750,10653.4,109782.8
600,179700,13204.4,143630.2
700,244650,15892.8,222803
800,319600,18669.4,253005.8
900,404550,21484.4,366248.2
1000,499500,24306.6,438421.4
1100,604450,27110.2,368154.4
1200,719400,30013.4,513348.2
1300,844350,32977.8,621089.4
1400,979300,35999.2,775189.4
1500,1124250,39074,965891.4
1600,1279200,42181.8,1111575
1700,1444150,45219.4,1093561
1800,1619100,48339.8,1335292.4
1900,1804050,51445.8,1542912.6
2000,1999000,54550,1970019.4
2100,2203950,57643.4,1950134.2
2200,2418900,60780,1860643.6
2300,2643850,63986.8,2209153.6
2400,2878800,67170.2,2617423.8
2500,3123750,70431.6,2473449
2600,3378700,73688.2,2849381
2700,3643650,76992.8,2956577.6
2800,3918600,80337,3200533.4
2900,4203550,83737.6,3468462.6
3000,4498500,87109.4,3089420.6
3100,4803450,90438,4342953.2
3200,5118400,93851.8,4064136.8
3300,5443350,97259,3877378.6
3400,5778300,100698.6,4833616.6
3500,6123250,104050,4718497.2
3600,6478200,107481.8,5801817.4
3700,6843150,110902.2,5167002.6
3800,7218100,114264.4,6188740.6
3900,7603050,117697.4,6957007.4
4000,7998000,121058.4,6491623
4100,8402950,124472.8,7209863.8
4200,8817900,127892.6,6967934.2
4300,9242850,131313.6,7587184.4
4400,9677800,134762.8,8164597
4500,10122750,138254,8157340
4600,10577700,141752.4,9099762.2
4700,11042650,145258,8697184.8
4800,11517600,148730.6,9743575.2
4900,12002550,152332.2,10414146.4
5000,12497500,155887,10852941.2
5100,13002450,159418.4,10338250.6
5200,13517400,163071,11294939
5300,14042350,166628.8,12083922.6
5400,14577300,170256.2,11205386.4
5500,15122250,173844,12783685
5600,15677200,177439.6,13172172.8
5700,16242150,181146.8,14540895.8
5800,16817100,184759.8,15078315
5900,17402050,188435.8,14736191.2
6000,17997000,192113.6,15144370.2
6100,18601950,195845.4,15756161.2
6200,19216900,199619.2,16027072.2
6300,19841850,203247.8,17602639.8
6400,20476800,206895.6,16483523.8
6500,21121750,210635.8,15544599.4
6600,21776700,214277,15833259.8
6700,22441650,218004.6,17447876.8
6800,23116600,221726.2,16991219.6
6900,23801550,225426.8,20598900.8
7000,24496500,229132.8,19700570
7100,25201450,232799.2,18426689
7200,25916400,236538.2,23141412.4
7300,26641350,240237.6,20943670.2
7400,27376300,243943,25369904.6
7500,28121250,247692.2,24291797.2
7600,28876200,251305.8,23535140.2
7700,29641150,255029.2,23146422
7800,30416100,258752.6,29749284.8
7900,31201050,262401.6,27300171.8
8000,31996000,266116,26671896.6
8100,32800950,269864.6,26693809
8200,33615900,273544.8,26677145
8300,34440850,277262.8,29069233.6
8400,35275800,280985.6,31059777.4
8500,36120750,284703,29855948.2
8600,36975700,288419.8,31287928.6
8700,37840650,292199.6,34630224.6
8800,38715600,295952.4,32522986.4
8900,39600550,299756.8,33799149.6
9000,40495500,303534.8,36175415.8
9100,41400450,307291.2,33352210
9200,42315400,311005.6,32381805.2
9300,43240350,314854.4,36767516.4
9400,44175300,318643.8,39830998.2
9500,45120250,322448.8,32887347
9600,46075200,326306.6,35591311.4
9700,47040150,330101.4,34815932.8
9800,48015100,333985.6,40337048
9900,49000050,337819.4,36720317
Grand Total,16580833.33,160157.303,13710774.92
