Row Labels,Average of comparisons_select,Average of comparisons_bubble,Average of comparisons_binInsertion
100,4950,3572,995
200,19900,10447,3386
300,44850,37100,7289
400,79800,69930,12848
500,124750,100879,20123
600,179700,179469,29118
700,244650,201579,39969
800,319600,215860,52698
900,404550,309284,67337
1000,499500,495759,83884
1100,604450,579025,102325
1200,719400,713072,122766
1300,844350,648725,145171
1400,979300,609930,169656
1500,1124250,749705,196169
1600,1279200,1180854,224778
1700,1444150,1365147,255493
1800,1619100,993579,288380
1900,1804050,1517904,323285
2000,1999000,1933297,360304
2100,2203950,2190909,399445
2200,2418900,1759374,440682
2300,2643850,2459322,484083
2400,2878800,2401047,529698
2500,3123750,2688039,577455
2600,3378700,3328930,627394
2700,3643650,2204594,679615
2800,3918600,3067740,734126
2900,4203550,4041954,790837
3000,4498500,4338605,849838
3100,4803450,4177929,911255
3200,5118400,4031325,974970
3300,5443350,3570270,1040917
3400,5778300,5097939,1109200
3500,6123250,4449715,1179725
3600,6478200,3999549,1252568
3700,6843150,6595694,1327717
3800,7218100,7192449,1405160
3900,7603050,5506922,1484993
4000,7998000,5429489,1566984
4100,8402950,5509735,1651311
4200,8817900,7533897,1737882
4300,9242850,9161847,1826959
4400,9677800,8371264,1918264
4500,10122750,8276669,2011967
4600,10577700,8174172,2107998
4700,11042650,10898734,2206309
4800,11517600,9203124,2307106
4900,12002550,9429504,2410191
5000,12497500,9942570,2515822
5100,13002450,6667430,2623815
5200,13517400,11597580,2734268
5300,14042350,10746322,2847151
5400,14577300,12322674,2962472
5500,15122250,14277900,3080111
5600,15677200,13778874,3200280
5700,16242150,9020250,3322913
5800,16817100,14824094,3448052
5900,17402050,11661084,3575649
6000,17997000,17859450,3705790
6100,18601950,18582447,3838405
6200,19216900,15301099,3973536
6300,19841850,11249265,4111061
6400,20476800,17674272,4251136
6500,21121750,18660879,4393693
6600,21776700,20664414,4538746
6700,22441650,22070559,4686337
6800,23116600,20552620,4836430
6900,23801550,18354900,4988965
7000,24496500,22980089,5144088
7100,25201450,16604719,5301595
7200,25916400,23256429,5461800
7300,26641350,12551264,5624345
7400,27376300,22557340,5789352
7500,28121250,28098030,5956979
7600,28876200,20745672,6127030
7700,29641150,22779490,6299583
7800,30416100,21026489,6474770
7900,31201050,30607545,6652299
8000,31996000,25100959,6832342
8100,32800950,28893540,7014859
8200,33615900,31443330,7200012
8300,34440850,27627264,7387475
8400,35275800,35215422,7577506
8500,36120750,29012415,7770083
8600,36975700,36924979,7965278
8700,37840650,20697210,8162867
8800,38715600,36162930,8363090
8900,39600550,35779320,8565817
9000,40495500,39754347,8771092
9100,41400450,28747485,8978881
9200,42315400,30855322,9189332
9300,43240350,41347865,9402323
9400,44175300,34707524,9617862
9500,45120250,44787730,9836005
9600,46075200,38784729,10056730
9700,47040150,45619695,10280113
9800,48015100,47672722,10506048
9900,49000050,35936334,10734577
Grand Total,16580833.33,13930229.6,3492216.04
